Wed Dec  7 13:40:05 2022
Cyclic Voltammetry
File: cp_example.txt
Data Source: KBIO Potentiostat
Instrument Model: SP50E
Header: 
Note: 

Init E (V) = -0.00
High E (V) = 6.18
Low E (V) = -0.00
Scan Rate (V/s) = 0.041
Segment = 3
Sample Interval (V) = 1.000e-02

Potential/V, Current/A
-5.448e-04, 0.000e+00
1.522e-01, 1.504e-04
4.410e-01, 3.199e-04
6.721e-01, 4.543e-04
8.596e-01, 5.627e-04
1.010e+00, 6.467e-04
1.133e+00, 7.155e-04
1.233e+00, 7.704e-04
1.313e+00, 8.109e-04
1.380e+00, 8.468e-04
1.437e+00, 8.766e-04
1.483e+00, 8.957e-04
1.523e+00, 9.125e-04
1.555e+00, 9.262e-04
1.585e+00, 9.384e-04
1.610e+00, 9.468e-04
1.632e+00, 9.506e-04
1.651e+00, 9.583e-04
1.670e+00, 9.659e-04
1.686e+00, 9.659e-04
1.701e+00, 9.705e-04
1.715e+00, 9.713e-04
1.728e+00, 9.720e-04
1.743e+00, 9.728e-04
1.755e+00, 9.781e-04
1.766e+00, 9.781e-04
1.778e+00, 9.766e-04
1.789e+00, 9.789e-04
1.800e+00, 9.789e-04
1.811e+00, 9.827e-04
1.821e+00, 9.774e-04
1.833e+00, 9.797e-04
1.854e+00, 9.812e-04
1.864e+00, 9.804e-04
1.874e+00, 9.797e-04
1.894e+00, 9.789e-04
1.904e+00, 9.865e-04
1.915e+00, 9.812e-04
1.935e+00, 9.842e-04
1.945e+00, 9.835e-04
1.964e+00, 9.804e-04
1.974e+00, 9.812e-04
1.994e+00, 9.804e-04
2.014e+00, 9.835e-04
2.032e+00, 9.842e-04
2.052e+00, 9.827e-04
2.071e+00, 9.835e-04
2.081e+00, 9.827e-04
2.099e+00, 9.797e-04
2.117e+00, 9.820e-04
2.127e+00, 9.835e-04
2.146e+00, 9.842e-04
2.164e+00, 9.835e-04
2.182e+00, 9.835e-04
2.200e+00, 9.820e-04
2.218e+00, 9.835e-04
2.237e+00, 9.850e-04
2.254e+00, 9.873e-04
2.273e+00, 9.820e-04
2.290e+00, 9.858e-04
2.308e+00, 9.865e-04
2.324e+00, 9.835e-04
2.343e+00, 9.812e-04
2.360e+00, 9.842e-04
2.377e+00, 9.842e-04
2.395e+00, 9.835e-04
2.411e+00, 9.835e-04
2.429e+00, 9.827e-04
2.445e+00, 9.842e-04
2.460e+00, 9.865e-04
2.478e+00, 9.865e-04
2.495e+00, 9.873e-04
2.511e+00, 9.835e-04
2.526e+00, 9.858e-04
2.544e+00, 9.865e-04
2.560e+00, 9.842e-04
2.575e+00, 9.858e-04
2.591e+00, 9.873e-04
2.606e+00, 9.865e-04
2.622e+00, 9.865e-04
2.637e+00, 9.865e-04
2.653e+00, 9.842e-04
2.668e+00, 9.850e-04
2.684e+00, 9.881e-04
2.699e+00, 9.881e-04
2.714e+00, 9.888e-04
2.729e+00, 9.873e-04
2.744e+00, 9.865e-04
2.758e+00, 9.888e-04
2.773e+00, 9.873e-04
2.788e+00, 9.865e-04
2.803e+00, 9.865e-04
2.817e+00, 9.858e-04
2.832e+00, 9.865e-04
2.845e+00, 9.896e-04
2.859e+00, 9.873e-04
2.875e+00, 9.873e-04
2.888e+00, 9.888e-04
2.901e+00, 9.896e-04
2.915e+00, 9.896e-04
2.929e+00, 9.888e-04
2.943e+00, 9.888e-04
2.956e+00, 9.904e-04
2.970e+00, 9.911e-04
2.984e+00, 9.896e-04
2.997e+00, 9.888e-04
3.009e+00, 9.919e-04
3.023e+00, 9.888e-04
3.037e+00, 9.888e-04
3.049e+00, 9.888e-04
3.062e+00, 9.904e-04
3.076e+00, 9.896e-04
3.089e+00, 9.919e-04
3.101e+00, 9.911e-04
3.113e+00, 9.919e-04
3.125e+00, 9.873e-04
3.137e+00, 9.896e-04
3.150e+00, 9.896e-04
3.163e+00, 9.911e-04
3.175e+00, 9.904e-04
3.188e+00, 9.911e-04
3.198e+00, 9.911e-04
3.210e+00, 9.904e-04
3.223e+00, 9.888e-04
3.236e+00, 9.911e-04
3.252e+00, 9.934e-04
3.265e+00, 9.904e-04
3.276e+00, 9.919e-04
3.287e+00, 9.911e-04
3.299e+00, 9.926e-04
3.309e+00, 9.919e-04
3.321e+00, 9.919e-04
3.332e+00, 9.934e-04
3.344e+00, 9.919e-04
3.355e+00, 9.911e-04
3.366e+00, 9.911e-04
3.377e+00, 9.934e-04
3.392e+00, 9.904e-04
3.404e+00, 9.919e-04
3.415e+00, 9.919e-04
3.426e+00, 9.911e-04
3.437e+00, 9.904e-04
3.452e+00, 9.949e-04
3.463e+00, 9.919e-04
3.478e+00, 9.934e-04
3.493e+00, 9.919e-04
3.504e+00, 9.911e-04
3.518e+00, 9.919e-04
3.529e+00, 9.957e-04
3.544e+00, 9.919e-04
3.558e+00, 9.934e-04
3.573e+00, 9.911e-04
3.583e+00, 9.926e-04
3.597e+00, 9.934e-04
3.612e+00, 9.911e-04
3.626e+00, 9.942e-04
3.639e+00, 9.911e-04
3.654e+00, 9.949e-04
3.667e+00, 9.934e-04
3.680e+00, 9.957e-04
3.695e+00, 9.926e-04
3.708e+00, 9.942e-04
3.721e+00, 9.919e-04
3.735e+00, 9.949e-04
3.747e+00, 9.934e-04
3.761e+00, 9.934e-04
3.773e+00, 9.919e-04
3.785e+00, 9.919e-04
3.799e+00, 9.957e-04
3.811e+00, 9.934e-04
3.825e+00, 9.957e-04
3.835e+00, 9.957e-04
3.847e+00, 9.934e-04
3.859e+00, 9.934e-04
3.871e+00, 9.965e-04
3.885e+00, 9.942e-04
3.899e+00, 9.972e-04
3.909e+00, 9.957e-04
3.921e+00, 9.965e-04
3.932e+00, 9.949e-04
3.944e+00, 9.972e-04
3.955e+00, 9.949e-04
3.966e+00, 9.957e-04
3.977e+00, 9.949e-04
3.988e+00, 9.972e-04
3.999e+00, 9.957e-04
4.013e+00, 9.957e-04
4.024e+00, 9.934e-04
4.035e+00, 9.972e-04
4.046e+00, 9.965e-04
4.057e+00, 9.949e-04
4.067e+00, 9.957e-04
4.077e+00, 9.972e-04
4.090e+00, 9.965e-04
4.101e+00, 9.988e-04
4.113e+00, 9.980e-04
4.126e+00, 9.972e-04
4.138e+00, 9.988e-04
4.151e+00, 9.972e-04
4.161e+00, 9.988e-04
4.173e+00, 9.988e-04
4.185e+00, 9.988e-04
4.196e+00, 9.988e-04
4.208e+00, 9.980e-04
4.218e+00, 9.972e-04
4.230e+00, 9.965e-04
4.241e+00, 9.957e-04
4.252e+00, 9.980e-04
4.264e+00, 9.980e-04
4.275e+00, 9.972e-04
4.286e+00, 9.965e-04
4.299e+00, 9.988e-04
4.312e+00, 9.972e-04
4.322e+00, 9.988e-04
4.335e+00, 9.988e-04
4.345e+00, 9.957e-04
4.357e+00, 9.980e-04
4.369e+00, 9.965e-04
4.381e+00, 9.988e-04
4.393e+00, 9.988e-04
4.404e+00, 9.980e-04
4.415e+00, 9.995e-04
4.427e+00, 1.000e-03
4.437e+00, 9.995e-04
4.450e+00, 1.002e-03
4.462e+00, 1.001e-03
4.472e+00, 1.000e-03
4.484e+00, 1.003e-03
4.495e+00, 9.988e-04
4.506e+00, 1.003e-03
4.518e+00, 9.995e-04
4.529e+00, 9.988e-04
4.541e+00, 1.000e-03
4.551e+00, 9.995e-04
4.563e+00, 1.001e-03
4.573e+00, 9.988e-04
4.584e+00, 1.002e-03
4.594e+00, 9.988e-04
4.606e+00, 1.003e-03
4.618e+00, 1.002e-03
4.629e+00, 1.001e-03
4.640e+00, 1.001e-03
4.651e+00, 1.001e-03
4.662e+00, 1.000e-03
4.672e+00, 9.980e-04
4.683e+00, 1.000e-03
4.694e+00, 1.001e-03
4.706e+00, 9.995e-04
4.717e+00, 1.003e-03
4.728e+00, 1.002e-03
4.738e+00, 1.003e-03
4.749e+00, 1.001e-03
4.761e+00, 1.000e-03
4.772e+00, 1.003e-03
4.783e+00, 1.002e-03
4.794e+00, 1.003e-03
4.804e+00, 1.001e-03
4.814e+00, 1.002e-03
4.825e+00, 1.002e-03
4.837e+00, 1.003e-03
4.847e+00, 1.003e-03
4.858e+00, 1.003e-03
4.869e+00, 1.001e-03
4.880e+00, 1.003e-03
4.890e+00, 1.001e-03
4.901e+00, 1.003e-03
4.912e+00, 1.002e-03
4.923e+00, 1.002e-03
4.934e+00, 1.003e-03
4.944e+00, 1.003e-03
4.955e+00, 1.003e-03
4.965e+00, 1.006e-03
4.976e+00, 1.002e-03
4.986e+00, 1.001e-03
4.996e+00, 1.004e-03
5.006e+00, 1.002e-03
5.017e+00, 1.005e-03
5.027e+00, 1.003e-03
5.038e+00, 1.004e-03
5.048e+00, 1.005e-03
5.059e+00, 1.003e-03
5.069e+00, 1.004e-03
5.080e+00, 1.006e-03
5.091e+00, 1.003e-03
5.102e+00, 1.004e-03
5.113e+00, 1.004e-03
5.123e+00, 1.003e-03
5.133e+00, 1.005e-03
5.143e+00, 1.004e-03
5.154e+00, 1.002e-03
5.154e+00, 1.004e-03
5.153e+00, 1.004e-03
5.152e+00, 1.004e-03
5.153e+00, 1.003e-03
5.152e+00, 1.004e-03
5.153e+00, 1.006e-03
5.153e+00, 1.006e-03
5.154e+00, 1.002e-03
5.153e+00, 1.004e-03
5.153e+00, 1.002e-03
5.153e+00, 1.007e-03
5.152e+00, 1.001e-03
5.153e+00, 1.006e-03
5.152e+00, 1.005e-03
5.153e+00, 1.003e-03
5.154e+00, 1.003e-03
