Wed Dec  7 13:43:04 2022
Cyclic Voltammetry
File: cv_example.txt
Data Source: KBIO Potentiostat
Instrument Model: SP50E
Header: 
Note: 

Init E (V) = 0.80
High E (V) = 0.80
Low E (V) = 0.01
Scan Rate (V/s) = -9.261
Segment = 4
Sample Interval (V) = 1.000e-02

Potential/V, Current/A
7.991e-01, 6.823e-06
7.890e-01, 3.825e-04
7.785e-01, 2.993e-04
7.680e-01, 2.413e-04
7.575e-01, 2.046e-04
7.471e-01, 1.802e-04
7.366e-01, 1.664e-04
7.264e-01, 1.534e-04
7.159e-01, 1.481e-04
7.054e-01, 1.405e-04
6.950e-01, 1.343e-04
6.845e-01, 1.321e-04
6.740e-01, 1.282e-04
6.635e-01, 1.267e-04
6.531e-01, 1.237e-04
6.426e-01, 1.206e-04
6.324e-01, 1.175e-04
6.219e-01, 1.175e-04
6.115e-01, 1.168e-04
6.010e-01, 1.107e-04
5.905e-01, 1.122e-04
5.800e-01, 1.099e-04
5.695e-01, 1.061e-04
5.591e-01, 1.023e-04
5.486e-01, 1.030e-04
5.384e-01, 9.998e-05
5.279e-01, 9.846e-05
5.175e-01, 9.540e-05
5.070e-01, 9.617e-05
4.965e-01, 9.158e-05
4.860e-01, 9.235e-05
4.756e-01, 9.006e-05
4.651e-01, 8.853e-05
4.549e-01, 8.471e-05
4.444e-01, 8.318e-05
4.339e-01, 8.013e-05
4.235e-01, 7.937e-05
4.130e-01, 7.555e-05
4.025e-01, 7.478e-05
3.920e-01, 7.097e-05
3.816e-01, 6.944e-05
3.711e-01, 6.715e-05
3.609e-01, 6.562e-05
3.504e-01, 6.333e-05
3.400e-01, 6.180e-05
3.295e-01, 5.951e-05
3.190e-01, 5.798e-05
3.085e-01, 5.646e-05
2.980e-01, 5.493e-05
2.876e-01, 5.111e-05
2.771e-01, 4.959e-05
2.669e-01, 4.882e-05
2.564e-01, 4.729e-05
2.460e-01, 4.348e-05
2.355e-01, 4.042e-05
2.250e-01, 3.889e-05
2.145e-01, 3.737e-05
2.041e-01, 4.042e-05
1.936e-01, 3.279e-05
1.834e-01, 3.126e-05
1.729e-01, 2.897e-05
1.624e-01, 2.820e-05
1.520e-01, 2.362e-05
1.415e-01, 2.210e-05
1.310e-01, 1.980e-05
1.205e-01, 1.828e-05
1.101e-01, 1.675e-05
9.958e-02, 1.293e-05
8.941e-02, 1.293e-05
7.893e-02, 9.114e-06
6.846e-02, 9.114e-06
5.798e-02, 9.114e-06
4.750e-02, 3.768e-06
3.702e-02, 2.241e-06
2.654e-02, 2.241e-06
1.607e-02, 7.140e-07
5.588e-03, -8.132e-07
8.007e-01, -3.868e-06
