Thu Jan 11 12:16:19 2024
Cyclic Voltammetry
File: examples/cv_ex_ch2.csv
Data Source: KBIO Potentiostat
Instrument Model: VSP
Header: 
Note: 

Init E (V) = 5.26
High E (V) = 5.26
Low E (V) = 5.26
Scan Rate (V/s) = 0.100
Segment = 6
Sample Interval (V) = 1.000e-02

Potential/V, Current/A
5.257e+00, 6.926e-07
5.257e+00, 1.982e-07
5.257e+00, 2.541e-08
5.258e+00, 3.752e-09
5.258e+00, 2.912e-09
5.258e+00, 2.788e-09
5.258e+00, 2.485e-09
5.258e+00, 2.751e-09
5.258e+00, 2.152e-09
5.258e+00, 2.993e-09
5.258e+00, 2.703e-09
5.258e+00, 3.055e-09
5.258e+00, 2.677e-09
5.258e+00, 3.393e-09
5.258e+00, 2.836e-09
5.258e+00, 2.957e-09
5.258e+00, 2.345e-09
5.258e+00, 3.000e-09
5.258e+00, 1.988e-09
5.258e+00, 2.543e-09
5.258e+00, 2.662e-09
5.258e+00, 2.970e-09
5.258e+00, 2.759e-09
5.258e+00, 2.961e-09
5.258e+00, 3.260e-09
5.258e+00, 2.624e-09
5.258e+00, 2.706e-09
5.258e+00, 2.614e-09
5.258e+00, 2.500e-09
5.258e+00, 2.218e-09
5.258e+00, 3.009e-09
5.258e+00, 2.795e-09
5.258e+00, 3.056e-09
5.258e+00, 2.589e-09
5.258e+00, 3.408e-09
5.258e+00, 2.556e-09
5.258e+00, 3.127e-09
5.258e+00, 2.285e-09
5.258e+00, 2.878e-09
5.258e+00, 2.006e-09
5.258e+00, 2.702e-09
5.258e+00, 2.539e-09
5.258e+00, 2.720e-09
5.258e+00, 2.536e-09
5.258e+00, 3.016e-09
5.258e+00, 2.990e-09
5.258e+00, 2.845e-09
5.258e+00, 2.509e-09
5.258e+00, 2.476e-09
5.258e+00, 2.422e-09
5.258e+00, 2.061e-09
5.258e+00, 2.670e-09
5.258e+00, 2.735e-09
5.258e+00, 2.883e-09
5.258e+00, 2.645e-09
5.258e+00, 3.298e-09
5.258e+00, 2.481e-09
5.258e+00, 2.885e-09
5.258e+00, 2.252e-09
5.258e+00, 2.658e-09
5.258e+00, 1.924e-09
5.258e+00, 2.768e-09
5.258e+00, 2.640e-09
5.258e+00, 2.947e-09
5.258e+00, 2.687e-09
5.258e+00, 3.579e-09
5.258e+00, 2.888e-09
5.258e+00, 2.886e-09
5.258e+00, 1.671e-09
5.258e+00, 2.769e-09
5.258e+00, 2.454e-09
5.258e+00, 3.095e-09
5.258e+00, 2.688e-09
5.258e+00, 3.509e-09
5.258e+00, 2.438e-09
5.258e+00, 2.846e-09
5.258e+00, 2.176e-09
5.258e+00, 2.847e-09
5.258e+00, 2.042e-09
5.258e+00, 2.572e-09
5.258e+00, 2.535e-09
5.258e+00, 2.885e-09
5.258e+00, 2.545e-09
5.258e+00, 3.190e-09
5.258e+00, 2.874e-09
5.258e+00, 2.728e-09
5.258e+00, 2.575e-09
5.258e+00, 2.565e-09
5.258e+00, 2.507e-09
5.258e+00, 2.413e-09
5.258e+00, 2.808e-09
5.258e+00, 2.652e-09
5.258e+00, 2.737e-09
5.258e+00, 2.874e-09
5.258e+00, 3.471e-09
5.258e+00, 2.515e-09
5.258e+00, 2.806e-09
5.258e+00, 2.535e-09
5.258e+00, 2.671e-09
5.258e+00, 1.938e-09
5.258e+00, 2.750e-09
5.258e+00, 2.595e-09
5.258e+00, 3.128e-09
5.258e+00, 2.687e-09
5.258e+00, 3.359e-09
5.258e+00, 2.695e-09
5.258e+00, 2.817e-09
5.258e+00, 2.494e-09
5.258e+00, 2.697e-09
5.258e+00, 2.401e-09
5.258e+00, 2.450e-09
5.258e+00, 2.744e-09
5.258e+00, 2.974e-09
5.258e+00, 2.916e-09
5.258e+00, 3.111e-09
5.258e+00, 3.157e-09
5.258e+00, 2.671e-09
5.258e+00, 2.851e-09
5.258e+00, 2.326e-09
5.258e+00, 2.745e-09
5.258e+00, 1.895e-09
5.258e+00, 2.783e-09
5.258e+00, 2.546e-09
5.258e+00, 3.063e-09
5.258e+00, 2.570e-09
5.258e+00, 3.550e-09
5.258e+00, 2.616e-09
5.258e+00, 2.785e-09
5.258e+00, 2.306e-09
5.258e+00, 2.710e-09
5.258e+00, 2.109e-09
5.258e+00, 2.701e-09
5.258e+00, 2.430e-09
5.258e+00, 2.617e-09
5.258e+00, 2.526e-09
5.258e+00, 3.150e-09
5.258e+00, 2.936e-09
5.258e+00, 2.661e-09
