Fri Dec  9 14:02:19 2022
Cyclic Voltammetry
File: cv_example.txt
Data Source: KBIO Potentiostat
Instrument Model: SP50E
Header: 
Note: 

Init E (V) = 1.00
High E (V) = 1.00
Low E (V) = 0.66
Scan Rate (V/s) = -20.001
Segment = 4
Sample Interval (V) = 1.000e-03

Potential/V, Current/A
9.982e-01, 3.768e-06
9.970e-01, 3.128e-03
9.951e-01, 3.049e-03
9.929e-01, 3.015e-03
9.911e-01, 2.983e-03
9.889e-01, 2.960e-03
9.871e-01, 2.938e-03
9.849e-01, 2.920e-03
9.831e-01, 2.900e-03
9.809e-01, 2.885e-03
9.791e-01, 2.860e-03
9.769e-01, 2.848e-03
9.751e-01, 2.829e-03
9.729e-01, 2.817e-03
9.711e-01, 2.799e-03
9.689e-01, 2.782e-03
9.671e-01, 2.767e-03
9.649e-01, 2.754e-03
9.631e-01, 2.739e-03
9.609e-01, 2.721e-03
9.590e-01, 2.710e-03
9.569e-01, 2.693e-03
9.550e-01, 2.678e-03
9.529e-01, 2.668e-03
9.510e-01, 2.653e-03
9.492e-01, 2.637e-03
9.480e-01, 2.631e-03
9.461e-01, 2.615e-03
9.439e-01, 2.605e-03
9.421e-01, 2.592e-03
9.399e-01, 2.579e-03
9.381e-01, 2.566e-03
9.359e-01, 2.552e-03
9.341e-01, 2.540e-03
9.319e-01, 2.526e-03
9.301e-01, 2.515e-03
9.279e-01, 2.502e-03
9.261e-01, 2.487e-03
9.239e-01, 2.477e-03
9.221e-01, 2.464e-03
9.199e-01, 2.446e-03
9.181e-01, 2.437e-03
9.159e-01, 2.429e-03
9.141e-01, 2.411e-03
9.119e-01, 2.402e-03
9.100e-01, 2.389e-03
9.079e-01, 2.380e-03
9.060e-01, 2.363e-03
9.039e-01, 2.354e-03
9.020e-01, 2.344e-03
9.002e-01, 2.333e-03
8.990e-01, 2.323e-03
8.971e-01, 2.317e-03
8.949e-01, 2.303e-03
8.931e-01, 2.288e-03
8.909e-01, 2.278e-03
8.891e-01, 2.268e-03
8.869e-01, 2.256e-03
8.851e-01, 2.249e-03
8.829e-01, 2.237e-03
8.811e-01, 2.221e-03
8.789e-01, 2.214e-03
8.771e-01, 2.203e-03
8.749e-01, 2.192e-03
8.731e-01, 2.179e-03
8.709e-01, 2.169e-03
8.691e-01, 2.156e-03
8.669e-01, 2.147e-03
8.651e-01, 2.134e-03
8.629e-01, 2.127e-03
8.610e-01, 2.118e-03
8.589e-01, 2.108e-03
8.570e-01, 2.092e-03
8.549e-01, 2.085e-03
8.530e-01, 2.072e-03
8.512e-01, 2.064e-03
8.500e-01, 2.061e-03
8.481e-01, 2.051e-03
8.459e-01, 2.040e-03
8.441e-01, 2.027e-03
8.419e-01, 2.020e-03
8.401e-01, 2.009e-03
8.379e-01, 2.001e-03
8.361e-01, 1.994e-03
8.339e-01, 1.985e-03
8.321e-01, 1.972e-03
8.299e-01, 1.961e-03
8.281e-01, 1.953e-03
8.259e-01, 1.946e-03
8.241e-01, 1.935e-03
8.219e-01, 1.925e-03
8.201e-01, 1.914e-03
8.179e-01, 1.901e-03
8.161e-01, 1.900e-03
8.139e-01, 1.888e-03
8.120e-01, 1.876e-03
8.099e-01, 1.868e-03
8.080e-01, 1.862e-03
8.059e-01, 1.856e-03
8.040e-01, 1.841e-03
8.022e-01, 1.833e-03
8.010e-01, 1.830e-03
7.991e-01, 1.820e-03
7.969e-01, 1.813e-03
7.951e-01, 1.803e-03
7.929e-01, 1.792e-03
7.911e-01, 1.786e-03
7.889e-01, 1.778e-03
7.871e-01, 1.766e-03
7.849e-01, 1.756e-03
7.831e-01, 1.751e-03
7.809e-01, 1.744e-03
7.791e-01, 1.735e-03
7.769e-01, 1.728e-03
7.751e-01, 1.717e-03
7.729e-01, 1.710e-03
7.711e-01, 1.704e-03
7.689e-01, 1.695e-03
7.671e-01, 1.683e-03
7.649e-01, 1.677e-03
7.631e-01, 1.672e-03
7.609e-01, 1.659e-03
7.590e-01, 1.655e-03
7.569e-01, 1.649e-03
7.550e-01, 1.639e-03
7.529e-01, 1.629e-03
7.510e-01, 1.623e-03
7.492e-01, 1.617e-03
7.480e-01, 1.613e-03
7.461e-01, 1.603e-03
7.439e-01, 1.594e-03
7.421e-01, 1.588e-03
7.399e-01, 1.583e-03
7.381e-01, 1.573e-03
7.359e-01, 1.565e-03
7.341e-01, 1.559e-03
7.319e-01, 1.550e-03
7.301e-01, 1.549e-03
7.279e-01, 1.537e-03
7.261e-01, 1.528e-03
7.239e-01, 1.520e-03
7.221e-01, 1.515e-03
7.199e-01, 1.507e-03
7.181e-01, 1.500e-03
7.159e-01, 1.491e-03
7.141e-01, 1.484e-03
7.119e-01, 1.478e-03
7.100e-01, 1.470e-03
7.079e-01, 1.469e-03
7.060e-01, 1.457e-03
7.039e-01, 1.449e-03
7.020e-01, 1.442e-03
7.002e-01, 1.436e-03
6.990e-01, 1.432e-03
6.971e-01, 1.426e-03
6.949e-01, 1.420e-03
6.931e-01, 1.413e-03
6.909e-01, 1.405e-03
6.891e-01, 1.402e-03
6.869e-01, 1.394e-03
6.851e-01, 1.387e-03
6.829e-01, 1.381e-03
6.811e-01, 1.372e-03
6.789e-01, 1.364e-03
6.771e-01, 1.355e-03
6.749e-01, 1.350e-03
6.731e-01, 1.345e-03
6.709e-01, 1.339e-03
6.691e-01, 1.331e-03
6.669e-01, 1.323e-03
6.651e-01, 1.322e-03
6.629e-01, 1.312e-03
6.610e-01, 1.304e-03
6.589e-01, 1.297e-03
6.570e-01, 1.294e-03
