Mon Jul 10 12:26:01 2023
Cyclic Voltammetry
File: examples/cv_example_backup.csv
Data Source: KBIO Potentiostat
Instrument Model: VSP
Header: 
Note: 

Init E (V) = 0.02
High E (V) = 0.79
Low E (V) = -0.29
Scan Rate (V/s) = 0.500
Segment = 6
Sample Interval (V) = 1.000e-02

Potential/V, Current/A
1.535e-02, 1.750e-07
1.540e-02, -3.591e-07
2.546e-02, 9.740e-07
3.562e-02, 1.379e-06
4.571e-02, 1.881e-06
7.594e-02, 3.921e-06
8.609e-02, 5.142e-06
9.611e-02, 6.522e-06
1.062e-01, 8.175e-06
1.264e-01, 1.119e-05
1.362e-01, 1.573e-05
1.460e-01, 1.956e-05
1.558e-01, 2.447e-05
1.656e-01, 3.081e-05
1.751e-01, 3.886e-05
1.845e-01, 4.893e-05
1.938e-01, 6.107e-05
2.030e-01, 7.517e-05
2.121e-01, 9.080e-05
2.305e-01, 1.159e-04
2.389e-01, 1.397e-04
2.480e-01, 1.540e-04
2.574e-01, 1.658e-04
2.669e-01, 1.746e-04
2.767e-01, 1.803e-04
2.867e-01, 1.828e-04
2.968e-01, 1.828e-04
3.071e-01, 1.808e-04
3.176e-01, 1.774e-04
3.280e-01, 1.733e-04
3.385e-01, 1.689e-04
3.490e-01, 1.645e-04
3.595e-01, 1.604e-04
3.699e-01, 1.564e-04
3.803e-01, 1.526e-04
3.908e-01, 1.489e-04
4.011e-01, 1.455e-04
4.116e-01, 1.422e-04
4.220e-01, 1.391e-04
4.323e-01, 1.363e-04
4.427e-01, 1.335e-04
4.531e-01, 1.310e-04
4.634e-01, 1.286e-04
4.737e-01, 1.263e-04
4.840e-01, 1.242e-04
4.944e-01, 1.222e-04
5.046e-01, 1.204e-04
5.149e-01, 1.186e-04
5.252e-01, 1.170e-04
5.355e-01, 1.154e-04
5.457e-01, 1.139e-04
5.559e-01, 1.126e-04
5.662e-01, 1.113e-04
5.765e-01, 1.102e-04
5.867e-01, 1.091e-04
5.970e-01, 1.080e-04
6.072e-01, 1.071e-04
6.175e-01, 1.062e-04
6.276e-01, 1.055e-04
6.378e-01, 1.047e-04
6.480e-01, 1.041e-04
6.583e-01, 1.034e-04
6.685e-01, 1.028e-04
6.787e-01, 1.022e-04
6.889e-01, 1.016e-04
6.991e-01, 1.011e-04
7.093e-01, 1.006e-04
7.195e-01, 1.001e-04
7.297e-01, 9.968e-05
7.399e-01, 9.942e-05
7.501e-01, 9.927e-05
7.602e-01, 9.907e-05
7.704e-01, 9.862e-05
7.807e-01, 9.780e-05
7.895e-01, 9.678e-05
7.888e-01, 9.143e-05
7.790e-01, 8.714e-05
7.689e-01, 8.484e-05
7.589e-01, 8.326e-05
7.488e-01, 8.187e-05
7.388e-01, 8.074e-05
7.286e-01, 7.964e-05
7.186e-01, 7.870e-05
7.085e-01, 7.790e-05
6.983e-01, 7.721e-05
6.882e-01, 7.652e-05
6.781e-01, 7.593e-05
6.680e-01, 7.539e-05
6.579e-01, 7.483e-05
6.477e-01, 7.439e-05
6.376e-01, 7.389e-05
6.275e-01, 7.343e-05
6.174e-01, 7.297e-05
6.072e-01, 7.257e-05
5.971e-01, 7.210e-05
5.869e-01, 7.169e-05
5.768e-01, 7.131e-05
5.667e-01, 7.090e-05
5.565e-01, 7.050e-05
5.464e-01, 7.011e-05
5.363e-01, 6.972e-05
5.261e-01, 6.935e-05
5.160e-01, 6.902e-05
5.059e-01, 6.866e-05
4.957e-01, 6.830e-05
4.856e-01, 6.794e-05
4.754e-01, 6.756e-05
4.653e-01, 6.725e-05
4.552e-01, 6.693e-05
4.450e-01, 6.657e-05
4.349e-01, 6.616e-05
4.248e-01, 6.580e-05
4.147e-01, 6.537e-05
4.045e-01, 6.491e-05
3.943e-01, 6.443e-05
3.842e-01, 6.391e-05
3.741e-01, 6.327e-05
3.539e-01, 6.161e-05
3.438e-01, 6.016e-05
3.338e-01, 5.852e-05
3.238e-01, 5.632e-05
3.138e-01, 5.333e-05
3.039e-01, 4.933e-05
2.942e-01, 4.409e-05
2.845e-01, 3.731e-05
2.750e-01, 2.877e-05
2.656e-01, 1.841e-05
2.563e-01, 6.294e-06
2.471e-01, -7.254e-06
2.379e-01, -2.177e-05
2.288e-01, -3.661e-05
2.198e-01, -5.091e-05
2.105e-01, -6.388e-05
2.011e-01, -7.472e-05
1.916e-01, -8.298e-05
1.818e-01, -8.843e-05
1.718e-01, -9.122e-05
1.617e-01, -9.178e-05
1.514e-01, -9.062e-05
1.412e-01, -8.834e-05
1.307e-01, -8.539e-05
1.203e-01, -8.213e-05
1.099e-01, -7.882e-05
9.951e-02, -7.559e-05
8.912e-02, -7.253e-05
7.872e-02, -6.963e-05
6.839e-02, -6.694e-05
5.806e-02, -6.441e-05
4.773e-02, -6.211e-05
3.739e-02, -5.999e-05
2.710e-02, -5.804e-05
1.677e-02, -5.622e-05
6.523e-03, -5.454e-05
-3.718e-03, -5.297e-05
-1.397e-02, -5.152e-05
-2.415e-02, -5.019e-05
-3.437e-02, -4.897e-05
-4.468e-02, -4.788e-05
-5.493e-02, -4.688e-05
-6.514e-02, -4.599e-05
-7.534e-02, -4.519e-05
-8.556e-02, -4.450e-05
-9.579e-02, -4.393e-05
-1.060e-01, -4.345e-05
-1.161e-01, -4.305e-05
-1.263e-01, -4.274e-05
-1.365e-01, -4.251e-05
-1.467e-01, -4.236e-05
-1.568e-01, -4.231e-05
-1.670e-01, -4.233e-05
-1.772e-01, -4.243e-05
-1.873e-01, -4.260e-05
-1.974e-01, -4.282e-05
-2.076e-01, -4.311e-05
-2.177e-01, -4.343e-05
-2.279e-01, -4.382e-05
-2.379e-01, -4.426e-05
-2.481e-01, -4.470e-05
-2.582e-01, -4.512e-05
-2.684e-01, -4.553e-05
-2.784e-01, -4.591e-05
-2.886e-01, -4.626e-05
-2.949e-01, -4.646e-05
-2.917e-01, -4.164e-05
-2.817e-01, -3.716e-05
-2.718e-01, -3.412e-05
-2.619e-01, -3.168e-05
-2.519e-01, -2.964e-05
-2.418e-01, -2.789e-05
-2.318e-01, -2.637e-05
-2.217e-01, -2.505e-05
-2.116e-01, -2.389e-05
-2.014e-01, -2.283e-05
-1.914e-01, -2.192e-05
-1.813e-01, -2.110e-05
-1.713e-01, -2.038e-05
-1.611e-01, -1.975e-05
-1.510e-01, -1.918e-05
-1.408e-01, -1.868e-05
-1.307e-01, -1.823e-05
-1.205e-01, -1.783e-05
-1.104e-01, -1.746e-05
-1.004e-01, -1.714e-05
-9.018e-02, -1.683e-05
-8.008e-02, -1.654e-05
-6.986e-02, -1.626e-05
-5.972e-02, -1.598e-05
-4.961e-02, -1.571e-05
-3.942e-02, -1.544e-05
-2.923e-02, -1.515e-05
-1.916e-02, -1.483e-05
-9.059e-03, -1.448e-05
