Fri Dec  9 14:04:47 2022
Cyclic Voltammetry
File: cv_example.csv
Data Source: KBIO Potentiostat
Instrument Model: SP50E
Header: 
Note: 

Init E (V) = 1.00
High E (V) = 1.00
Low E (V) = 0.66
Scan Rate (V/s) = -20.001
Segment = 4
Sample Interval (V) = 1.000e-03

Potential/V, Current/A
9.982e-01, 5.296e-06
9.970e-01, 3.132e-03
9.952e-01, 3.046e-03
9.930e-01, 3.014e-03
9.912e-01, 2.985e-03
9.890e-01, 2.960e-03
9.871e-01, 2.936e-03
9.850e-01, 2.920e-03
9.831e-01, 2.900e-03
9.810e-01, 2.885e-03
9.791e-01, 2.866e-03
9.770e-01, 2.852e-03
9.751e-01, 2.831e-03
9.730e-01, 2.816e-03
9.711e-01, 2.799e-03
9.690e-01, 2.785e-03
9.671e-01, 2.770e-03
9.650e-01, 2.757e-03
9.631e-01, 2.741e-03
9.610e-01, 2.725e-03
9.591e-01, 2.708e-03
9.569e-01, 2.695e-03
9.551e-01, 2.679e-03
9.529e-01, 2.666e-03
9.511e-01, 2.654e-03
9.492e-01, 2.640e-03
9.480e-01, 2.631e-03
9.462e-01, 2.621e-03
9.440e-01, 2.608e-03
9.422e-01, 2.592e-03
9.400e-01, 2.584e-03
9.381e-01, 2.565e-03
9.360e-01, 2.553e-03
9.341e-01, 2.540e-03
9.320e-01, 2.528e-03
9.301e-01, 2.518e-03
9.280e-01, 2.505e-03
9.261e-01, 2.487e-03
9.240e-01, 2.477e-03
9.221e-01, 2.465e-03
9.200e-01, 2.453e-03
9.181e-01, 2.437e-03
9.160e-01, 2.425e-03
9.141e-01, 2.417e-03
9.120e-01, 2.405e-03
9.101e-01, 2.386e-03
9.079e-01, 2.378e-03
9.061e-01, 2.367e-03
9.039e-01, 2.355e-03
9.021e-01, 2.343e-03
9.002e-01, 2.331e-03
8.990e-01, 2.326e-03
8.972e-01, 2.314e-03
8.950e-01, 2.305e-03
8.932e-01, 2.291e-03
8.910e-01, 2.280e-03
8.891e-01, 2.270e-03
8.870e-01, 2.259e-03
8.851e-01, 2.245e-03
8.830e-01, 2.235e-03
8.811e-01, 2.224e-03
8.790e-01, 2.213e-03
8.771e-01, 2.203e-03
8.750e-01, 2.192e-03
8.731e-01, 2.180e-03
8.710e-01, 2.171e-03
8.691e-01, 2.160e-03
8.670e-01, 2.148e-03
8.651e-01, 2.140e-03
8.630e-01, 2.131e-03
8.611e-01, 2.117e-03
8.589e-01, 2.108e-03
8.571e-01, 2.098e-03
8.549e-01, 2.086e-03
8.531e-01, 2.073e-03
8.512e-01, 2.063e-03
8.500e-01, 2.061e-03
8.482e-01, 2.051e-03
8.460e-01, 2.040e-03
8.442e-01, 2.033e-03
8.420e-01, 2.023e-03
8.402e-01, 2.011e-03
8.380e-01, 2.001e-03
8.361e-01, 1.990e-03
8.340e-01, 1.987e-03
8.321e-01, 1.972e-03
8.300e-01, 1.962e-03
8.281e-01, 1.952e-03
8.260e-01, 1.943e-03
8.241e-01, 1.934e-03
8.220e-01, 1.929e-03
8.201e-01, 1.915e-03
8.180e-01, 1.907e-03
8.161e-01, 1.895e-03
8.140e-01, 1.887e-03
8.121e-01, 1.878e-03
8.099e-01, 1.871e-03
8.081e-01, 1.859e-03
8.059e-01, 1.855e-03
8.041e-01, 1.843e-03
8.022e-01, 1.833e-03
8.010e-01, 1.832e-03
7.992e-01, 1.823e-03
7.970e-01, 1.814e-03
7.952e-01, 1.806e-03
7.930e-01, 1.792e-03
7.912e-01, 1.786e-03
7.890e-01, 1.775e-03
7.871e-01, 1.766e-03
7.850e-01, 1.762e-03
7.831e-01, 1.753e-03
7.810e-01, 1.743e-03
7.791e-01, 1.738e-03
7.770e-01, 1.726e-03
7.751e-01, 1.719e-03
7.730e-01, 1.709e-03
7.711e-01, 1.704e-03
7.690e-01, 1.697e-03
7.671e-01, 1.687e-03
7.650e-01, 1.678e-03
7.631e-01, 1.668e-03
7.610e-01, 1.662e-03
7.591e-01, 1.655e-03
7.569e-01, 1.649e-03
7.551e-01, 1.639e-03
7.529e-01, 1.627e-03
7.511e-01, 1.622e-03
7.492e-01, 1.620e-03
7.480e-01, 1.608e-03
7.462e-01, 1.607e-03
7.440e-01, 1.598e-03
7.422e-01, 1.589e-03
7.400e-01, 1.581e-03
7.381e-01, 1.576e-03
7.360e-01, 1.566e-03
7.341e-01, 1.555e-03
7.320e-01, 1.554e-03
7.301e-01, 1.543e-03
7.280e-01, 1.536e-03
7.261e-01, 1.529e-03
7.240e-01, 1.523e-03
7.221e-01, 1.513e-03
7.200e-01, 1.507e-03
7.181e-01, 1.502e-03
7.160e-01, 1.491e-03
7.141e-01, 1.484e-03
7.120e-01, 1.481e-03
7.101e-01, 1.474e-03
7.079e-01, 1.463e-03
7.061e-01, 1.460e-03
7.039e-01, 1.455e-03
7.021e-01, 1.445e-03
7.002e-01, 1.439e-03
6.990e-01, 1.433e-03
6.972e-01, 1.427e-03
6.950e-01, 1.423e-03
6.932e-01, 1.410e-03
6.910e-01, 1.406e-03
6.891e-01, 1.400e-03
6.870e-01, 1.397e-03
6.851e-01, 1.385e-03
6.830e-01, 1.377e-03
6.811e-01, 1.374e-03
6.790e-01, 1.369e-03
6.771e-01, 1.359e-03
6.750e-01, 1.353e-03
6.731e-01, 1.343e-03
6.710e-01, 1.339e-03
6.691e-01, 1.336e-03
6.670e-01, 1.326e-03
6.651e-01, 1.316e-03
6.630e-01, 1.314e-03
